ID,Lat,Long,d18Owchenery
Dover Buckland Grave 204,51.13888611,1.29888889,-9.01
Dover Buckland Grave 250,51.13888611,1.29888889,-9.42
Dover Buckland Grave 271,51.13888611,1.29888889,-10.37
Dover Buckland Grave 297,51.13888611,1.29888889,-11.45
Dover Buckland Grave 323,51.13888611,1.29888889,-5.77
Dover Buckland Grave 336,51.13888611,1.29888889,-6.57
Dover Buckland Grave 346,51.13888611,1.29888889,-9.16
Dover Buckland Grave 347,51.13888611,1.29888889,-9.86
Dover Buckland Grave 375,51.13888611,1.29888889,-10.09
Dover Buckland Grave 391B,51.13888611,1.29888889,-10.01
Dover Buckland Grave 407,51.13888611,1.29888889,-10.29
Dover Buckland Grave 426,51.13888611,1.29888889,-6.47