ID,Lat,Long,d18Odwlevinson,d18Odwchenery,Sr
West Heslerton G73,54.170581,-0.615343,NA,-6.30 ,0.709101
West Heslerton G74,54.170581,-0.615343,NA,-6.60 ,0.710061
West Heslerton G98,54.170581,-0.615343,NA,-6.30 ,0.708498
West Heslerton G100,54.170581,-0.615343,-7,-6.30 ,0.709002
West Heslerton G101,54.170581,-0.615343,-6.7,-6.14 ,0.708757
West Heslerton G102,54.170581,-0.615343,-6.64,-5.99 ,0.710339
West Heslerton G114,54.170581,-0.615343,-8.36,-7.22 ,0.709364
West Heslerton G115,54.170581,-0.615343,NA,NA,0.708664
West Heslerton G122,54.170581,-0.615343,-7.07,-6.30 ,0.709767
West Heslerton G132,54.170581,-0.615343,-8.95,-7.68 ,0.709132
West Heslerton G133,54.170581,-0.615343,-9.47,-8.14 ,0.710228
West Heslerton G139,54.170581,-0.615343,-8.21,-7.22 ,0.709189
West Heslerton G144,54.170581,-0.615343,-8.33,-7.22 ,0.709064
West Heslerton G145,54.170581,-0.615343,-6.37,-5.83 ,0.709549
West Heslerton G149,54.170581,-0.615343,-8.89,-7.68 ,0.71057
West Heslerton G158,54.170581,-0.615343,NA,NA,0.709937
West Heslerton G162,54.170581,-0.615343,NA,NA,0.709014
West Heslerton G166,54.170581,-0.615343,-11.21,NA,0.708796
West Heslerton G169,54.170581,-0.615343,NA,NA,0.709032